PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
INDIAN BOUNDARY,165,River Suite,POINT (-87.69382037137235 42.010165875679725),-87.69382037,42.01016588,Phil Schuster,CPD,5856
"KING-LOCKHART (PATRICK, ANTHONY)",558,Where Dreams Begin,POINT (-87.68101697520234 41.70025485118374),-87.68101698,41.70025485,Marshall Svendsen,CPD,5822
ARRIGO (VICTOR),215,Christopher Columbus and Fountain,POINT (-87.66135902068221 41.871715570902694),-87.66135902,41.87171557,Moses Ezekiel,CPD,1231
BIXLER (RAY),1083,Phil Richman Fountain,POINT (-87.59277601514974 41.791679640120435),-87.59277602,41.79167964,,CPD,1232
BURNHAM (DANIEL),27,American Doughboy (Spirit of the American Doughboy),POINT (-87.61652131558861 41.860805788112536),-87.61652132,41.86080579,Ernest Moore Viquesney,CPD,1233
BURNHAM (DANIEL),27,Mermaid (La Sirena),POINT (-87.59719664211076 41.82065095049295),-87.59719664,41.82065095,Jose Moreno,CPD,1234
BURNHAM (DANIEL),27,Gold Star Families Memorial,POINT (-87.61422863059079 41.86244137718876),-87.61422863,41.86244138,David Woodhouse & Assoc.,CPD,1235
BURNHAM (DANIEL),27,Chicago Firefighter/Paramedic Memorial,POINT (-87.609772769109 41.85069858464075),-87.60977277,41.85069859,John Alaniz,CPD,1236
BURNHAM (DANIEL),27,Soldier Field Children's Garden,POINT (-87.61484271098291 41.8645728093905),-87.61484271,41.86457281,Peter Lindsay Schaudt,,1237
BURNHAM (DANIEL),27,Special Olympics Memorial,POINT (-87.6154785251789 41.862175566116626),-87.61547853,41.86217557,Richard Hunt,CPD,1238
BURNHAM (DANIEL),27,Tribute to George Halas,POINT (-87.61551276626999 41.86253310458865),-87.61551277,41.86253311,Julie Rotblatt-Amrany,,1240
BURNHAM (DANIEL),27,Wallach Fountain,POINT (-87.5756584036286 41.795573825493854),-87.5756584,41.79557383,Frederick & Elisabeth Hibbard,CPD,1241
CHICAGO WOMEN'S PARK AND GARDENS,550,Botanical Gardens Fountain,POINT (-87.62134843218149 41.85707740116308),-87.62134843,41.8570774,Tannis Langdon,CPD,1243
CHICAGO WOMEN'S PARK AND GARDENS,550,Jane Addams Memorial (Helping Hands),POINT (-87.62123312438105 41.85697158915095),-87.62123312,41.85697159,Louise Bourgeois,,1244
COMMERCIAL CLUB PGD. OF CHICAGO,1006,Playground Art,POINT (-87.67376927483093 41.896606956361204),-87.67376927,41.89660696,"John Pittman Webber, CPAG",CPD,1245
DEARBORN (HENRY),465,Alchemy -- Birds and Stone,POINT (-87.62913385320577 41.870815406190374),-87.62913385,41.87081541,Dan Yarborough,CPD,1247
CORNELL (PAUL) SQUARE,5,Paul Cornell Bust,POINT (-87.67012333843081 41.802959037429225),-87.67012334,41.80295904,Sigvald Asbj�rnsen,CPD,1248
FULLER (MELVILLE),4,Melville W. Fuller Bust,POINT (-87.63459834896857 41.812175286888504),-87.63459835,41.81217529,William Ordway Partridge,CPD,1249
FULLER (MELVILLE),4,Fountain,POINT (-87.63459230853003 41.81206080742908),-87.63459231,41.81206081,,CPD,1250
GARFIELD (JAMES),204,Administration Bldg Interior Panels (Gold Dome Rotunda Panels),POINT (-87.71601342285989 41.882672687362934),-87.71601342,41.88267269,Richard W. Bock,CPD,1251
GARFIELD (JAMES),204,Bulls with Maidens (World Fair Bulls/Statues of Plenty),POINT (-87.71865303468574 41.8865953931705),-87.71865303,41.88659539,"Daniel Chester French, Edward C. Potter",CPD,1252
GARFIELD (JAMES),204,Norman Cornwall Memorial (WWI Obelisk),POINT (-87.71600563383316 41.87705831272941),-87.71600563,41.87705831,Carl J. Epiing,CPD,1253
GARFIELD (JAMES),204,Robert Burns Memorial,POINT (-87.71736073621094 41.88199070489179),-87.71736074,41.88199071,William Grant Stevenson,CPD,1254
GARFIELD (JAMES),204,Conservatory Entrance Fountain,POINT (-87.71682545354669 41.88627571785189),-87.71682545,41.88627572,"Wolff, Clements & Assoc",CPD,1255
GARFIELD (JAMES),204,Lincoln the Rail-Splitter,POINT (-87.71606875985535 41.88178763733839),-87.71606876,41.88178764,Charles J. Mulligan,CPD,1256
GARFIELD (JAMES),204,Pastoral & Idyl,POINT (-87.71730014925188 41.88633464282997),-87.71730015,41.88633464,Lorado Taft,CPD,1257
GARFIELD (JAMES),204,Persian Pool (Yellow Lilies),POINT (-87.71745675960527 41.88629260408867),-87.71745676,41.8862926,Dale Chihuly,CPD,1258
GARFIELD (JAMES),204,Zellij Fountain,POINT (-87.71767722497611 41.88657249853522),-87.71767722,41.8865725,Said Ben Adiba,CPD,1259
GARIBALDI (GIUSEPPE),1047,Giuseppe Garibaldi Monument,POINT (-87.66531080283248 41.87259175669426),-87.6653108,41.87259176,Victor Gheradi,CPD,1260
GOMPERS (SAMUEL),40,Samuel Gompers Monument,POINT (-87.72855098439967 41.975287947146725),-87.72855098,41.97528795,Susan Clinard,CPD,1261
GOUDY (WILLIAM) SQUARE,105,Turtle Fountain,POINT (-87.62687512643161 41.905506493863854),-87.62687513,41.90550649,Walter Arnold,CPD,1262
GRANT (ULYSSES),24,Agora,POINT (-87.62336714116958 41.86809046813478),-87.62336714,41.86809047,Magdalena Abakanowicz,CPD,1263
GRANT (ULYSSES),24,Big Beaver Totem Pole,POINT (-87.61702906546307 41.86720060602693),-87.61702907,41.86720061,Norman Tait Nishga,Field Museum,1264
GRANT (ULYSSES),24,Central Station Fragments,POINT (-87.62273310263761 41.86802233707971),-87.6227331,41.86802234,Bradford L. Gilbert,Metra,1265
GRANT (ULYSSES),24,Clarence Buckingham Memorial Fountain,POINT (-87.61893954498656 41.875795889825596),-87.61893954,41.87579589,Marcel Francois Loyau,CPD,1266
GRANT (ULYSSES),24,Chicago Stock Exchange Arch,POINT (-87.62106321283572 41.88064739174378),-87.62106321,41.88064739,Adler & Sullivan,Art Institute of Chicago,1267
GRANT (ULYSSES),24,Christopher Columbus Monument,POINT (-87.6196173076788 41.86792841531384),-87.61961731,41.86792842,Carl Brioschi,CPD,1268
GRANT (ULYSSES),24,Core-Loc Armoring Devices,POINT (-87.61316324846254 41.88642129522997),-87.61316325,41.8864213,US Army Corps of Engineers,CPD,1269
GRANT (ULYSSES),24,Cubi VII,POINT (-87.62380176927525 41.88032250514422),-87.62380177,41.88032251,David Smith,Art Institute of Chicago,1270
GRANT (ULYSSES),24,Eagle Fountains,POINT (-87.62370403273289 41.87547123624434),-87.62370403,41.87547124,Frederick Cleveland Hibbard,CPD,1271
GRANT (ULYSSES),24,Equestrian Indians,POINT (-87.62355836963607 41.87596106058174),-87.62355837,41.87596106,Ivan Mestrovic,COD,1272
GRANT (ULYSSES),24,8th Street Fountain,POINT (-87.62333536232703 41.87191954326471),-87.62333536,41.87191954,"Bennett, Frost & Thomas",CPD,1273
GRANT (ULYSSES),24,Federal Building Columns,POINT (-87.61744962210498 41.884113944034006),-87.61744962,41.88411394,Henry Ives Cobb,CPD,1274
GRANT (ULYSSES),24,Flying Dragon,POINT (-87.62375778812446 41.88040834823854),-87.62375779,41.88040835,Alexander Calder,Art Institute of Chicago,1275
GRANT (ULYSSES),24,Fountain Figures,POINT (-87.61808574198697 41.877725634299736),-87.61808574,41.87772564,Leonard Crunelle,CPD,1276
GRANT (ULYSSES),24,Fountain Figures,POINT (-87.61990286415364 41.87770120548404),-87.61990286,41.87770121,Leonard Crunelle,CPD,1277
GRANT (ULYSSES),24,Fountain Figures,POINT (-87.61980209895498 41.873865307618956),-87.6198021,41.87386531,Leonard Crunelle,CPD,1278
GRANT (ULYSSES),24,Fountain Figures,POINT (-87.61800115324888 41.873877925173794),-87.61800115,41.87387793,Leonard Crunelle,CPD,1279
GRANT (ULYSSES),24,Fountain of the Great Lakes (Spirit of the Great Lakes),POINT (-87.6236523405108 41.8787606752943),-87.62365234,41.87876068,Lorado Taft,Art Institute of Chicago,1280
GRANT (ULYSSES),24,In Celebration of the 200th Anniversary of the Founding of the Republic,POINT (-87.62110019392202 41.880388561743224),-87.62110019,41.88038856,Isamu Noguchi,Art Institute of Chicago,1281
GRANT (ULYSSES),24,Abraham Lincoln (Seated Lincoln),POINT (-87.62151678072048 41.877318164086056),-87.62151678,41.87731816,Augustus Saint-Gaudens,CPD,1282
GRANT (ULYSSES),24,Lions,POINT (-87.6240434309664 41.879569302164505),-87.62404343,41.8795693,Edward Kemeys,Art Institute of Chicago,1283
GRANT (ULYSSES),24,John Alexander Logan Monument,POINT (-87.62344453843903 41.87060749941519),-87.62344454,41.8706075,"Augustus Saint-Gaudens, Alexander Proctor",CPD,1284
GRANT (ULYSSES),24,Man With Fish,POINT (-87.61465003172749 41.867130412484),-87.61465003,41.86713041,Stephan Balkenhol,Shedd Aquarium,1285
GRANT (ULYSSES),24,Olmec Head,POINT (-87.61582218465145 41.86704483807368),-87.61582218,41.86704484,Ignacio Perez Salono,Field Museum,1286
GRANT (ULYSSES),24,Paris Metro Entryway (Guimard),POINT (-87.62390647619374 41.876976729666694),-87.62390648,41.87697673,Hector Guimard,COC,1287
GRANT (ULYSSES),24,Reading Cones,POINT (-87.61905150073733 41.88060252960668),-87.6190515,41.88060253,Richard Serra,COC,1288
GRANT (ULYSSES),24,Rosenberg Fountain (Hebe),POINT (-87.6237734086702 41.868691239137696),-87.62377341,41.86869124,Franz Machtl,CPD,1289
GRANT (ULYSSES),24,Sir Georg Solti Bust,POINT (-87.6239562523281 41.87809593637713),-87.62395625,41.87809594,Dame Elisabeth Frink,CPD,1290
GRANT (ULYSSES),24,Spirit of Music (Theodore Thomas Memorial),POINT (-87.62349854894751 41.873370482501514),-87.62349855,41.87337048,Albin Polasek,CPD,1291
GRANT (ULYSSES),24,Aaron Montgomery Ward Bust,POINT (-87.62359115292878 41.869321384994976),-87.62359115,41.86932139,Milton Horn,CPD,1292
HARRISON (CARTER),213,Zapata Bust,POINT (-87.67171049596877 41.85680241720601),-87.6717105,41.85680242,Gabriel Ponzanelli,CPD,1293
HERITAGE GREEN,537,Grainne,POINT (-87.64378642437819 41.879450969492744),-87.64378642,41.87945097,Maurice Harron,CPD,1294
HORNER (HENRY),228,Henry Horner Monument,POINT (-87.69822980839179 41.961088722026794),-87.69822981,41.96108872,John David Brcin,CPD,1295
HUMBOLDT (ALEXANDER VON),219,World's Fair Bison,POINT (-87.70240614749842 41.90380106523936),-87.70240615,41.90380107,Edward Kemeys,CPD,1296
HUMBOLDT (ALEXANDER VON),219,Leif Ericsson Monument,POINT (-87.70155949639113 41.90671573344087),-87.7015595,41.90671573,Sigvald Asbj�rnsen,CPD,1297
HUMBOLDT (ALEXANDER VON),219,Alexander von Humboldt Monument,POINT (-87.70145696231633 41.905471688451165),-87.70145696,41.90547169,Felix Gorling,CPD,1298
HUMBOLDT (ALEXANDER VON),219,Home (Miner and Child),POINT (-87.69755953592258 41.90344917027081),-87.69755954,41.90344917,Charles Mulligan,CPD,1299
HUMBOLDT (ALEXANDER VON),219,Interpreting Nature,POINT (-87.69942047081813 41.90625514820594),-87.69942047,41.90625515,Roman Villareal,CPD,1300
HUMBOLDT (ALEXANDER VON),219,Fritz Reuter,POINT (-87.70191922510611 41.90380100973933),-87.70191923,41.90380101,Franz Engelsman,CPD,1301
INDIAN BOUNDARY,165,City Hall Keystone,POINT (-87.69218853488117 42.00912000735616),-87.69218853,42.00912001,A.C. Goddard,CPD,1302
INDIAN BOUNDARY,165,Wind Harp,POINT (-87.69215050384233 42.00959926477133),-87.6921505,42.00959927,Craig Brant,Craig Brant,1303
JACKSON (ANDREW),19,The Republic (Golden Lady),POINT (-87.57989607880542 41.77959800925104),-87.57989608,41.77959801,Daniel Chester French,CPD,1304
JONQUIL,1270,Eagle Columns,POINT (-87.65394027204908 41.92885258449285),-87.65394027,41.92885259,Richard Hunt,CPD,1305
KENNEDY (DENNIS),48,Playground Art,POINT (-87.68195872932506 41.68767465797827),-87.68195873,41.68767466,Roman Villareal,CPD,1306
"KING (MARTIN LUTHER, JR.)",265,Dr. Martin Luther King Bust,POINT (-87.65466770638697 41.75582070749177),-87.65466771,41.75582071,Tina Allen,CPD,1307
LEGION,274,Legion Park Gateway Plaza Fountain,POINT (-87.70795575328378 41.989951614598056),-87.70795575,41.98995162,DeStefano & Partners,CPD,1308
LINCOLN (ABRAHAM),100,The Alarm,POINT (-87.63253673135468 41.9362143958696),-87.63253673,41.9362144,John J. Boyle,CPD,1309
LINCOLN (ABRAHAM),100,John Peter Altgeld Monument,POINT (-87.63753033436812 41.93218683264531),-87.63753033,41.93218683,Gutzon Borglum,CPD,1310
LINCOLN (ABRAHAM),100,Hans Christian Andersen,POINT (-87.63466187736672 41.91960256955203),-87.63466188,41.91960257,Johannes Gelert,CPD,1311
LINCOLN (ABRAHAM),100,Eli Bates Fountain (Storks at Play),POINT (-87.63521380652665 41.922735461866),-87.63521381,41.92273546,"Augustus Saint-Gaudens, Frederick MacMonnies",CPD,1312
LINCOLN (ABRAHAM),100,Greene Vardiman Black,POINT (-87.62759338836874 41.911340212076944),-87.62759339,41.91134021,Frederick Cleveland Hibbard,CPD,1313
LINCOLN (ABRAHAM),100,Chess Pavillion,POINT (-87.62498678171231 41.91129438510271),-87.62498678,41.91129439,Boris Gilbertson,CPD,1314
LINCOLN (ABRAHAM),100,Chicago Fire Relic,POINT (-87.63073782330896 41.91194791485099),-87.63073782,41.91194792,,Chicago History Museum,1315
LINCOLN (ABRAHAM),100,City Hall Relic (Finial),POINT (-87.63610699779048 41.91885630351192),-87.636107,41.9188563,Jenney & Loring,CPD,1316
LINCOLN (ABRAHAM),100,Couch Tomb,POINT (-87.63134518531665 41.91293664778985),-87.63134519,41.91293665,Van Osdel & Baumann,CPD,1317
LINCOLN (ABRAHAM),100,Cummings Playground Art,POINT (-87.63597146338917 41.92074401006223),-87.63597146,41.92074401,Tom Tischler,CPD,1318
LINCOLN (ABRAHAM),100,Curve XXII (I Will),POINT (-87.63338079013448 41.9261356996578),-87.63338079,41.9261357,Ellsworth Kelly,CPD,1319
LINCOLN (ABRAHAM),100,Robert Cavalier de LaSalle,POINT (-87.63274296408571 41.91336528016668),-87.63274296,41.91336528,Count Jacque de la Laing,CPD,1320
LINCOLN (ABRAHAM),100,Children's Fountain,POINT (-87.63142569511764 41.911338370206714),-87.6314257,41.91133837,Robinson Iron Works,CPD,1321
LINCOLN (ABRAHAM),100,Benjamin Franklin,POINT (-87.6310878307036 41.913794675534604),-87.63108783,41.91379468,Richard Henry Park,CPD,1322
LINCOLN (ABRAHAM),100,Garden Figure,POINT (-87.63521716869128 41.92417799346051),-87.63521717,41.92417799,Frederick C. Hibbard,CPD,1323
LINCOLN (ABRAHAM),100,Goddess of Youth (Hebe),POINT (-87.6353822980645 41.92424569765188),-87.6353823,41.9242457,,CPD,1324
LINCOLN (ABRAHAM),100,Monument to Johann Wolfgang von Goethe,POINT (-87.6386089916019 41.93260274187032),-87.63860899,41.93260274,Herman Hahn,CPD,1325
LINCOLN (ABRAHAM),100,Ulysses S. Grant Memorial,POINT (-87.63086269997201 41.91752909039267),-87.6308627,41.91752909,Louis T. Rebisso,CPD,1326
LINCOLN (ABRAHAM),100,Alexander Hamilton,POINT (-87.6384273148231 41.93170596019578),-87.63842731,41.93170596,John Angel,CPD,1327
LINCOLN (ABRAHAM),100,Abraham Lincoln Monument  (Standing Lincoln),POINT (-87.63026626925472 41.91258964348098),-87.63026627,41.91258964,Augustus Saint-Gaudens,CPD,1328
LINCOLN (ABRAHAM),100,Margate Park Playground Art,POINT (-87.64943799500132 41.97246356211299),-87.64943799,41.97246356,CPAG,CPD,1329
LINCOLN (ABRAHAM),100,Richard Oglesby Monument,POINT (-87.63706564121934 41.93014765505241),-87.63706564,41.93014766,Leonard Crunelle,CPD,1330
LINCOLN (ABRAHAM),100,Putnam Chain,POINT (-87.63110172970303 41.91241037799903),-87.63110173,41.91241038,,Chicago History Museum,1331
LINCOLN (ABRAHAM),100,Kwa-Ma-Rolas (Totem Pole),POINT (-87.64242274937502 41.948972176121316),-87.64242275,41.94897218,Haida Indians,CPD,1332
LINCOLN (ABRAHAM),100,Dr. Jose Rizal,POINT (-87.64817371865689 41.967148065669356),-87.64817372,41.96714807,Antonio T. Mondejar,CPD,1333
LINCOLN (ABRAHAM),100,Roscoe Playground Art,POINT (-87.63899529613224 41.94301678262269),-87.6389953,41.94301678,CPAG,CPD,1334
LINCOLN (ABRAHAM),100,Johann Christoph Friedrich von Schiller,POINT (-87.63519468663236 41.92199760568965),-87.63519469,41.92199761,Ernst Bilhauer Rau,CPD,1335
LINCOLN (ABRAHAM),100,William Shakespeare,POINT (-87.63619403485097 41.923811719928516),-87.63619403,41.92381172,William Ordway Partridge,CPD,1336
LINCOLN (ABRAHAM),100,Gen. Philip Henry Sheridan Monument,POINT (-87.63923851697888 41.9404491253975),-87.63923852,41.94044913,Gutzon Borglum,CPD,1337
LINCOLN (ABRAHAM),100,Signal of Peace,POINT (-87.63137739454386 41.93320610323449),-87.63137739,41.9332061,Cyrus Edwin Dallin,CPD,1338
LINCOLN (ABRAHAM),100,Emanuel Swedenborg Memorial,POINT (-87.6316861739534 41.931448188453516),-87.63168617,41.93144819,Adolff Johnson,CPD,1339
LOGAN SQUARE SKATE PARK,549,Silversurf Gate,POINT (-87.68956940778725 41.928492868359086),-87.68956941,41.92849287,Lucy Slivinski,,1340
PRINZ (TOBEY) BEACH,115,Windform,POINT (-87.65818246116197 42.00594227664219),-87.65818246,42.00594228,Lynn Takata,CPD,6195
MARIANO (LOUIS),1239,Botanical Gardens Fountain,POINT (-87.62816001276795 41.90173832015838),-87.62816001,41.90173832,Robinson Iron,CPD,1342
MARQUETTE (JACQUES),10,Darius & Girenas Memorial,POINT (-87.69373109305148 41.77152166828546),-87.69373109,41.77152167,Raout Josset,CPD,1343
McKINLEY (WILLIAM),23,William McKinley,POINT (-87.68381322128998 41.82628253287723),-87.68381322,41.82628253,Charles Mulligan,CPD,1344
MID-NORTH,1206,Fountain,POINT (-87.63905242356584 41.92360394934891),-87.63905242,41.92360395,Gast Monuments,,1345
MIDWAY PLAISANCE,1268,Cheney-Goode Memorial,POINT (-87.58832893566216 41.78703180954391),-87.58832894,41.78703181,South Park Commission Architects,CPD,1346
MIDWAY PLAISANCE,1268,Thomas Garrigue Masaryk (The Blanik Knight),POINT (-87.59014909807793 41.786936401156524),-87.5901491,41.7869364,Albin Pol�sek,CPD,1347
MIDWAY PLAISANCE,1268,Carl von Linne,POINT (-87.59960525379476 41.787529605340325),-87.59960525,41.78752961,Frithiof Kjellberg,CPD,1348
OZ,423,Tin Man,POINT (-87.64394563453851 41.92171837056661),-87.64394563,41.92171837,John Kearney,CPD,5634
MONUMENT,57,WWI Monument (Honor Roll for Vets),POINT (-87.81811367959328 42.001749245643985),-87.81811368,42.00174925,James J. Egan,CPD,1352
MOUNT GREENWOOD,251,Playground Art,POINT (-87.71230240561144 41.69094649943995),-87.71230241,41.6909465,CPAG,CPD,1353
NICHOLS (JOHN FOUNTAIN),277,"Bird of Peace (Guarding the Nest, the Egg)",POINT (-87.59337963402633 41.79918760100312),-87.59337963,41.7991876,Cosmo Campoli,CPD,1354
NICHOLS (JOHN FOUNTAIN),277,North Fountain,POINT (-87.59366013119786 41.7991694322566),-87.59366013,41.79916943,Maria Whiteman,CPD,1355
NICHOLS (JOHN FOUNTAIN),277,South Fountain,POINT (-87.59445098841877 41.79538933411301),-87.59445099,41.79538933,Gary Wojcik,CPD,1356
NORTHERLY ISLAND,34,America's Courtyard,POINT (-87.60654966553989 41.86564164818396),-87.60654967,41.86564165,"Denise Milan, Ary R. Perez",CPD,1357
NORTHERLY ISLAND,34,Copernicus Monument,POINT (-87.60778938714114 41.866348985170404),-87.60778939,41.86634899,Bronislaw Koniuszy,COD,1358
NORTHERLY ISLAND,34,Karel Havlicek,POINT (-87.61044895239199 41.86631912319106),-87.61044895,41.86631912,Joseph Strachovsky,CPD,1359
NORTHERLY ISLAND,34,Thaddeus Kosciusko Monument,POINT (-87.61250035532393 41.866279554337126),-87.61250036,41.86627956,Kasimir Chodzinski,CPD,1360
NORTHERLY ISLAND,34,Man Enters the Cosmos,POINT (-87.60710629671908 41.866758536853176),-87.6071063,41.86675854,Henry Moore,CPD,1361
NORTHERLY ISLAND,34,Spiral Galaxy,POINT (-87.60717725423183 41.86600119648324),-87.60717725,41.8660012,John David Mooney,Adler Planetarium,1362
OGDEN (WILLIAM) PLAZA,477,Floor Clock II,POINT (-87.61989202833107 41.89026424670692),-87.61989203,41.89026425,Vito Acconci,CPD,1363
OWENS (JESSE),237,Playground Art,POINT (-87.57434912558296 41.734403200869146),-87.57434913,41.7344032,CPAG,CPD,1364
OZ,423,Cowardly Lion,POINT (-87.64391424973418 41.92021434559644),-87.64391425,41.92021435,John Kearney,CPD,1365
OZ,423,Dorothy and Toto,POINT (-87.6462169504678 41.92169669187385),-87.64621695,41.92169669,John Kearney,CPD,1366
OZ,423,Scarecrow,POINT (-87.64437122085491 41.921439973877284),-87.64437122,41.92143997,John Kearney,CPD,1367
PARK NO. 474,474,Man on a Bench,POINT (-87.62760187555857 41.8355101291524),-87.62760188,41.83551013,George Segal,Illinois Institute of Technology,1369
"WILLIAMS-DAVIS (HATTIE KAY, IZORA)",532,Restoration,POINT (-87.6005073594505 41.819807070379646),-87.60050736,41.81980707,Milton Mizenburg Jr.,,1370
RENAISSANCE,509,Sculptural Fountain,POINT (-87.6561030513375 41.75071921733663),-87.65610305,41.75071922,Jerzy Kenar,CPD,1371
SENN (NICHOLAS),227,The Young Lincoln,POINT (-87.66943993560591 41.989774647040925),-87.66943994,41.98977465,Charles Keck,CPD,1372
SKINNER (MARK),211,Playground Dragon,POINT (-87.6600185278085 41.87960363875824),-87.66001853,41.87960364,CPAG,CPD,1373
PALMISANO (HENRY),531,Entry Fountain,POINT (-87.64693135708198 41.844225529919754),-87.64693136,41.84422553,Ernest Wong,CPD,1374
SUN YAT-SEN,451,Dr. Sun Yat-Sen,POINT (-87.6345243993484 41.8481225970361),-87.6345244,41.8481226,,CPD,1375
TOUHY (PATRICK),246,The Receptor,POINT (-87.6748530256763 42.01508621078462),-87.67485303,42.01508621,Tamsie Ringler,Tamsie Ringler,1376
UNION,210,James Connolly Monument,POINT (-87.66653558355196 41.8826337731201),-87.66653558,41.88263377,Tom White,CPD,1377
UNION,210,Carter Harrison Memorial,POINT (-87.66583011560954 41.88303464079063),-87.66583012,41.88303464,Frederick C. Hibbard,CPD,1378
WARD (A. MONTGOMERY),511,Commemorative Ground Ring,POINT (-87.64166953586383 41.89370739416134),-87.64166954,41.89370739,Sheila Klein,CPD,1379
WASHINGTON (GEORGE),21,Drexel Fountain,POINT (-87.60446343475815 41.80189140847954),-87.60446343,41.80189141,Henry Manger,COC,1380
WASHINGTON (GEORGE),21,Fountain of Time,POINT (-87.60769721633723 41.78672721182143),-87.60769722,41.78672721,Lorado Taft,CPD,1381
WASHINGTON (GEORGE),21,Gotthold Ephraim Lessing,POINT (-87.60669050017353 41.794263310711855),-87.6066905,41.79426331,Albin Polasek,CPD,1382
WASHINGTON (GEORGE),21,George Washington Monument,POINT (-87.61643465427625 41.80255812049764),-87.61643465,41.80255812,"Daniel Chester French, Edward C. Potter",COC,1383
WASHINGTON (GEORGE),21,Playground Art,POINT (-87.61473981252107 41.791827682722534),-87.61473981,41.79182768,CPAG,CPD,1384
WASHINGTON (HAROLD),494,Ecstasy,POINT (-87.58238398569468 41.80264446712361),-87.58238399,41.80264447,Virginio Ferrari,CPD,1385
